"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"792",1,NA,0,146,"158H",158,37,0,3,0,0,0,1,6,15,145,12,NA,145,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,10,NA,5,958.502,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",1,1,252,23
"793",1,NA,0,147,"159H",159,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,150,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,52,NA,0,NA,5,2815.376,NA,NA,NA,NA,NA,NA,NA,NA,"L","","H","E","","E","",1,1,237,23
"794",5,2,0,170,"  3A",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,4,NA,NA,NA,NA,0,0,0,NA,NA,"F","F",NA,NA,NA,NA,1,NA,NA,NA,NA,68,45,10,0,6,13.489,NA,NA,NA,NA,NA,NA,NA,NA,"D","9","A","E","9","W","9",1,1,302,23
"795",1,2,0,NA,"  5D",5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,0,0,0,NA,NA,"F","F",NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,0,NA,6,20.649,NA,NA,NA,NA,NA,NA,NA,NA,"Y","9","D","E","9","W","9",1,1,276,23
"796",1,NA,0,143,"  5D",5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,350,NA,6,20.649,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",1,2,263,23
"797",2,NA,0,149,"  5D",5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,10,NA,6,20.649,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",0,3,270,23
"798",1,2,0,146,"  6F",6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,3,2,NA,NA,NA,0,0,0,NA,NA,"F","T",NA,NA,NA,NA,1,NA,NA,NA,NA,54,31,0,998,6,111.692,NA,NA,NA,NA,NA,NA,NA,NA,"D","P","F","E","D","W","O",1,1,230,23
"799",1,NA,0,154,"  7F",7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,6,111.692,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",NA,1,280,23
"800",1,NA,0,158,"  8F",8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,6,20.398,NA,NA,NA,NA,NA,NA,NA,NA,"R","","F","E","","E","",0,1,285,23
"801",1,NA,0,156,"  9F",9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,6,20.398,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",0,1,272,23
"802",1,NA,0,NA,"  9F",9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,1,NA,NA,NA,NA,0,0,0,NA,NA,"L","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,20.398,NA,NA,NA,NA,NA,NA,NA,NA,"F","","F","E","","W","",0,2,278,23
"803",1,NA,0,149," 11H",11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,6,59.671,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",NA,1,270,23
"804",1,NA,0,149," 12D",12,62,0,0,0,2,10,9,9,40,138,1,NA,138,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,6,21.448,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,1,261,23
"805",1,NA,0,142," 12D",12,104,0,0,0,4,9,0,0,5,151,11,NA,151,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,6,21.448,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,2,272,23
"806",1,NA,0,148," 13E",13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,998,2,NA,NA,NA,NA,0,0,0,NA,NA,"L","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,280,NA,6,60.888,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","E","E","","W","",1,1,260,23
"807",1,3,0,NA," 14E",14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,12,998,2,1,NA,NA,NA,0,0,0,NA,NA,"R","F",NA,NA,NA,NA,1,NA,NA,NA,NA,1,4,120,0,6,60.888,NA,NA,NA,NA,NA,NA,NA,NA,"Y","C","E","E","E","W","W",1,2,285,23
"808",1,2,0,153," 15F",15,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,12,NA,1,1,NA,NA,NA,0,0,0,NA,NA,"B","F",NA,NA,NA,NA,1,NA,NA,NA,NA,1,59,180,10,6,116.015,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","F","E","E","W","E",1,2,262,23
"809",3,2,0,144," 16K",16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,12,998,2,2,NA,NA,NA,0,0,0,NA,NA,"R","F",NA,NA,NA,NA,1,NA,NA,NA,NA,42,62,70,10,6,8.1,NA,NA,NA,NA,NA,NA,NA,NA,"D","Z","K","A","E","W","W",1,1,250,23
"810",1,NA,0,155," 17E",17,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,998,1,NA,NA,NA,NA,0,0,0,NA,NA,"R","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,90,NA,6,48.834,NA,NA,NA,NA,NA,NA,NA,NA,"F","","E","E","","W","",0,1,266,23
"811",1,NA,0,NA," 17E",17,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,NA,6,48.834,NA,NA,NA,NA,NA,NA,NA,NA,"L","","E","E","","E","",0,2,NA,23
"812",1,NA,0,167," 18E",18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,0,NA,6,48.834,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",0,1,330,23
"813",1,NA,0,143," 20F",20,148,0,2,1,1,0,0,0,0,148,6,NA,148,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,6,117.484,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",0,2,263,23
"814",1,NA,0,151," 21G",21,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,998,1,NA,NA,NA,NA,0,0,0,NA,NA,"L","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,280,NA,6,156.818,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","G","E","","W","",1,2,265,23
"815",2,3,0,170," 22D",22,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,"F","B",NA,NA,NA,NA,1,NA,NA,NA,NA,1,57,340,NA,6,16.091,NA,NA,NA,NA,NA,NA,NA,NA,"Y","9","D","E","9","W","9",1,3,314,23
"816",1,2,0,156," 24E",24,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,998,3,1,NA,NA,NA,0,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,70,120,6,32.177,NA,NA,NA,NA,NA,NA,NA,NA,"D","B","E","E","E","W","E",1,2,281,23
"817",3,1,0,158," 26B",26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,998,4,NA,NA,NA,NA,0,0,0,NA,NA,"T","R",NA,NA,NA,NA,1,NA,NA,NA,NA,31,63,998,80,6,6.485,NA,NA,NA,NA,NA,NA,NA,NA,"Y","F","B","D","W","O","9",1,1,285,23
"818",1,NA,0,164," 27E",27,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,350,NA,6,84.062,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",0,1,291,23
"819",1,NA,0,148," 27E",27,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,70,NA,6,84.062,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","E","E","","W","",1,2,262,23
"820",1,NA,0,151," 28F",28,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,0,NA,6,160.171,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,1,272,23
"821",1,NA,0,162," 28F",28,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,270,NA,6,160.171,NA,NA,NA,NA,NA,NA,NA,NA,"P","","F","E","","W","",0,2,307,23
"822",1,NA,0,NA," 30E",30,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,998,3,NA,NA,NA,NA,0,0,0,NA,NA,"L","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,340,NA,6,30.213,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,2,272,23
"823",1,NA,0,154," 31F",31,120,0,7,1,0,0,0,0,-10,140,12,NA,140,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,6,57.567,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",0,2,272,23
"824",3,2,0,160," 33B",33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,2,2,NA,NA,NA,0,0,0,NA,NA,"F","F",NA,NA,NA,NA,1,NA,NA,NA,NA,54,51,0,0,6,12.804,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","B","E","E","W","W",1,1,304,23
"825",1,NA,1,169," 34D",34,120,0,21,15,21,16,5,0,16,188,12,NA,188,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,6,33.497,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",1,2,343,23
"826",2,NA,0,159," 34D",34,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,6,33.497,NA,NA,NA,NA,NA,NA,NA,NA,"F","","D","E","","S","",0,3,305,23
"827",1,3,0,162," 35F",35,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,12,998,2,1,NA,NA,NA,0,0,0,NA,NA,"L","F",NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,250,350,6,181.19,NA,NA,NA,NA,NA,NA,NA,NA,"P","L","F","E","E","W","W",0,1,303,23
"828",1,NA,0,156," 36E",36,64,0,7,1,0,0,0,0,-40,148,12,NA,148,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,6,27.212,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,1,272,23
"829",1,NA,0,157," 36E",36,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,350,NA,6,27.212,NA,NA,NA,NA,NA,NA,NA,NA,"L","","E","E","","W","",0,2,278,23
"830",1,NA,0,153," 38F",38,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,51.85,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",NA,2,265,23
"831",1,NA,0,159," 39F",39,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,0,NA,6,51.85,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",NA,1,305,23
"832",1,NA,0,145," 39F",39,73,0,46,23,17,8,0,2,21,140,6,NA,140,4,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,190,NA,6,51.85,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,2,264,23
"833",1,NA,0,147," 40F",40,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,6,84.255,NA,NA,NA,NA,NA,NA,NA,NA,"L","","F","E","","W","",1,1,262,23
"834",1,2,0,151," 40F",40,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,6,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"F","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,350,170,6,84.255,NA,NA,NA,NA,NA,NA,NA,NA,"L","Z","F","E","E","W","W",0,2,270,23
"835",2,NA,0,169," 40F",40,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,70,NA,6,84.255,NA,NA,NA,NA,NA,NA,NA,NA,"F","","F","E","","W","",0,3,296,23
"836",1,NA,0,150," 41F",41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,6,84.255,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,1,261,23
"837",1,NA,0,157," 42F",42,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,998,3,NA,NA,NA,NA,0,0,0,NA,NA,"R","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,80,NA,6,84.255,NA,NA,NA,NA,NA,NA,NA,NA,"P","","F","E","","W","",0,1,281,23
"838",1,NA,0,NA," 42F",42,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,NA,6,84.255,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,2,279,23
"839",1,2,0,147," 44E",44,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,4,1,NA,NA,NA,0,0,0,NA,NA,"F","R",NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,10,10,6,42.075,NA,NA,NA,NA,NA,NA,NA,NA,"R","Y","E","E","E","E","S",1,1,267,23
"840",1,NA,0,160," 44E",44,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,210,NA,6,42.075,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","E","E","","S","",0,2,334,23
"841",3,1,0,156," 45F",45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,1,1,NA,NA,NA,0,0,0,NA,NA,"F","F",NA,NA,NA,NA,1,NA,NA,NA,NA,68,68,10,10,6,80.169,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","F","E","E","W","W",1,1,276,23
"842",1,2,0,146," 46G",46,181,0,4,13,22,7,4,2,65,236,3,12,998,3,2,NA,NA,NA,0,0,0,1,NA,"R","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,3,100,0,6,107.01,0,3,6,10,2,0,6,140,"Y","Z","G","E","E","W","W",1,1,259,23
"843",1,3,0,155," 46G",46,98,1,20,25,23,17,7,6,-7,164,12,12,164,2,NA,NA,NA,NA,0,0,0,1,NA,"F","U",NA,NA,NA,NA,1,NA,1,NA,NA,1,63,0,0,6,107.01,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","G","E","Y","W","W",1,2,272,23
"844",2,NA,0,153," 46G",46,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,190,NA,6,107.01,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","G","L","","W","",0,3,275,23
"845",1,2,0,147," 47C",47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,3,NA,NA,6,17.827,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","C","9","9","9","9",NA,1,255,23
"846",1,NA,0,155," 47C",47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,"B","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,17.827,NA,NA,NA,NA,NA,NA,NA,NA,"9","","C","9","","9","",NA,2,289,23
"847",2,NA,0,148," 47C",47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,17.827,NA,NA,NA,NA,NA,NA,NA,NA,"9","","C","9","","9","",NA,3,267,23
"848",1,NA,0,154," 49F",49,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,350,NA,6,185.23,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","W","",1,2,266,23
"849",3,1,0,157," 50E",50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,3,2,NA,NA,NA,0,0,0,NA,NA,"T","F",NA,NA,NA,NA,1,NA,NA,NA,NA,31,2,998,10,6,51.587,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","E","D","E","O","E",1,1,277,23
"850",1,2,0,145," 51F",51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,2,1,NA,NA,NA,0,0,0,NA,NA,"F","F",NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,350,0,6,98.293,NA,NA,NA,NA,NA,NA,NA,NA,"Z","Y","F","E","E","W","W",1,1,264,23
"851",1,NA,0,156," 51F",51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,30,NA,6,98.293,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",0,2,282,23
"852",1,NA,0,155," 54E",54,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,72.695,NA,NA,NA,NA,NA,NA,NA,NA,"9","","E","9","","9","",NA,2,272,23
"853",1,3,0,159," 55E",55,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,11,NA,2,2,NA,NA,NA,0,0,0,NA,NA,"F","L",NA,NA,NA,NA,1,NA,NA,NA,NA,2,51,350,340,6,72.695,NA,NA,NA,NA,NA,NA,NA,NA,"R","F","E","E","E","E","W",1,1,305,23
"854",1,2,0,160," 55E",55,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,10,998,3,1,NA,NA,NA,0,0,0,NA,NA,"R","L",NA,NA,NA,NA,1,NA,NA,NA,NA,1,57,60,310,6,72.695,NA,NA,NA,NA,NA,NA,NA,NA,"Z","Z","E","E","E","W","W",1,2,291,23
"855",3,NA,0,174," 56F",56,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,138.513,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",0,4,351,23
"856",1,NA,0,149," 58E",58,41,0,25,11,5,0,0,0,-47,130,12,NA,130,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,6,56.258,NA,NA,NA,NA,NA,NA,NA,NA,"L","","E","E","","E","",1,1,260,23
"857",1,NA,0,153," 58E",58,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,6,56.258,NA,NA,NA,NA,NA,NA,NA,NA,"F","","E","E","","S","",0,2,270,23
"858",1,NA,0,141," 59F",59,49,0,2,1,2,4,8,16,35,120,11,NA,120,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,330,NA,6,107.194,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",1,1,230,23
"859",1,2,0,NA," 59F",59,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,12,998,3,1,NA,NA,NA,0,0,0,NA,NA,"R","R",NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,30,10,6,107.194,NA,NA,NA,NA,NA,NA,NA,NA,"Z","F","F","E","E","W","S",1,2,250,23
"860",2,NA,0,167," 59F",59,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,6,107.194,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","S","",0,3,302,23
"861",1,NA,0,151," 60B",60,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,0,NA,6,12.804,NA,NA,NA,NA,NA,NA,NA,NA,"D","","B","E","","W","",1,1,270,23
"862",1,2,0,NA," 60B",60,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,4,NA,NA,NA,NA,0,0,0,NA,NA,"B","R",NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,180,70,6,12.804,NA,NA,NA,NA,NA,NA,NA,NA,"D","9","B","E","E","W","W",1,2,266,23
"863",2,3,0,152," 60B",60,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,2,NA,2,2,NA,NA,NA,0,0,0,NA,NA,"F","R",NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,340,50,6,12.804,NA,NA,NA,NA,NA,NA,NA,NA,"Z","Y","B","E","E","W","W",1,3,270,23
"864",1,NA,0,153," 61F",61,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,70,NA,6,256.268,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",0,2,271,23
"865",1,NA,0,156," 62F",62,67,0,2,4,17,18,26,40,215,96,2,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,50,NA,6,81.929,NA,NA,NA,NA,NA,NA,NA,NA,"F","","F","E","","W","",1,2,281,23
"866",1,2,0,NA," 63F",63,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,NA,80,6,81.929,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","F","E","E","9","9",1,1,257,23
"867",2,1,0,146," 63F",63,114,0,0,5,6,6,1,0,-122,114,11,10,998,2,1,NA,NA,NA,0,0,0,1,NA,"L","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,340,310,6,81.929,0,6,14,13,11,16,175,74,"Z","F","F","E","E","S","E",1,2,255,23
"868",3,NA,0,161," 63F",63,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,310,NA,6,81.929,NA,NA,NA,NA,NA,NA,NA,NA,"P","","F","E","","W","",0,3,279,23
"869",2,1,0,162," 65F",65,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,2,3,NA,NA,NA,0,0,0,NA,NA,"F","F",NA,NA,NA,NA,1,NA,NA,NA,NA,59,58,350,350,6,73.951,NA,NA,NA,NA,NA,NA,NA,NA,"L","R","F","E","E","W","E",1,1,290,23
"870",1,NA,0,151," 66E",66,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,6,63.179,NA,NA,NA,NA,NA,NA,NA,NA,"R","","E","E","","W","",0,1,264,23
"871",1,NA,0,155," 66E",66,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,998,2,NA,NA,NA,NA,0,0,0,NA,NA,"L","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,260,NA,6,63.179,NA,NA,NA,NA,NA,NA,NA,NA,"P","","E","A","","W","",1,2,270,23
