"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"5098",1,2,0,157,"140E",140,182,0,0,3,35,39,24,0,-4,242,2,6,998,3,1,NA,NA,NA,0,0,0,1,NA,"R","B",NA,NA,NA,NA,1,NA,1,NA,NA,3,1,50,180,74,61.248,10,5,6,13,3,0,0,155,"P","D","E","E","E","W","W",1,2,276,23
"5099",1,NA,0,168,"140E",140,132,0,7,8,9,10,11,13,0,168,11,NA,168,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,320,NA,74,61.248,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,3,302,23
"5100",1,NA,0,151,"141G",141,150,0,20,34,45,37,24,20,0,150,12,NA,150,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,74,123.736,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","E","","W","",1,1,269,23
"5101",1,NA,0,173,"141G",141,180,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,170,NA,74,123.736,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","L","","W","",0,2,407,23
"5102",1,NA,0,145,"142H",142,104,0,3,5,4,2,1,0,-23,150,1,NA,150,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,74,287.13,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,1,264,23
"5103",1,NA,0,156,"142H",142,250,0,1,9,13,11,7,10,80,155,11,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,74,287.13,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","E","","W","",1,2,277,23
"5104",1,NA,0,150,"143F",143,250,0,1,14,19,21,18,7,47,233,1,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,20,NA,74,105.44,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","W","",1,2,272,23
"5105",1,NA,0,145,"144F",144,130,0,15,14,10,6,3,4,-10,150,1,NA,150,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,74,105.44,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",0,1,260,23
"5106",1,NA,0,152,"144F",144,181,0,0,7,9,3,1,0,72,181,11,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,320,NA,74,105.44,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","W","",0,2,274,23
"5107",1,NA,0,155,"145H",145,125,0,8,8,7,4,3,2,-12,150,82,NA,150,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,60,NA,74,294.821,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,1,271,23
"5108",1,NA,0,155,"145H",145,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,74,294.821,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",NA,2,267,23
"5109",1,2,0,151,"146H",146,66,0,16,12,25,38,30,28,40,145,12,0,145,2,2,NA,NA,NA,0,0,0,1,NA,"F","T",NA,NA,NA,NA,1,NA,1,NA,NA,68,68,0,998,74,294.821,NA,NA,NA,NA,NA,NA,NA,NA,"Z","P","H","E","R","W","W",1,1,269,23
"5110",1,NA,0,153,"147J",147,131,0,17,9,18,15,11,14,0,162,11,NA,162,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,340,NA,74,8.832,NA,NA,NA,NA,NA,NA,NA,NA,"D","","J","E","","W","",1,1,265,23
"5111",1,NA,0,148,"147J",147,190,0,13,29,73,79,78,17,15,244,2,NA,998,5,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,70,NA,74,8.832,NA,NA,NA,NA,NA,NA,NA,NA,"P","","J","A","","W","",1,2,260,23
"5112",5,1,0,146,"148K",148,24,1,7,8,9,18,33,13,9,150,12,12,150,2,9,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,51,2,0,0,74,8.868,NA,NA,NA,NA,NA,NA,NA,NA,"C","L","K","E","A","N","W",1,1,254,23
"5113",1,2,0,151,"148K",148,127,0,29,39,44,42,38,33,0,168,68,9,168,3,1,NA,NA,NA,NA,NA,NA,NA,NA,"B","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,68,250,270,74,8.868,0,2,5,6,4,3,42,110,"D","P","K","E","E","W","W",1,2,263,23
"5114",1,NA,0,162,"149E",149,104,0,0,9,23,36,49,22,33,170,12,NA,170,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,350,NA,74,199.055,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","E","E","","W","",1,1,288,23
"5115",1,NA,0,NA,"149E",149,196,0,0,2,10,2,27,6,140,228,1,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,40,NA,74,199.055,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,2,282,23
"5116",1,NA,0,152,"150H",150,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,74,933.173,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","L","","W","",0,1,262,23
"5117",1,NA,0,149,"150H",150,99,0,0,2,5,7,3,6,138,120,10,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,290,NA,74,933.173,NA,NA,NA,NA,NA,NA,NA,NA,"F","","H","E","","W","",1,2,273,23
"5118",1,NA,0,154,"151D",151,134,0,22,18,20,20,16,13,-4,150,12,NA,150,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,74,11.351,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,1,270,23
"5119",1,NA,0,142,"151D",151,144,0,15,26,24,25,21,18,3,160,6,NA,160,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,190,NA,74,11.351,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,2,272,23
