"","ACCSEQDV","ACCTYPE","ALCTEST","ANGTHIS","ANGOTHER","WEATHER","BAREQSP","BODYTYPE","CARGOWGT","CASEID","CASENO","CONDTREE","CURBWGT","DVEST","DOCTRAJ","DRIVDIST","DRINKING","DRPRES","DRRACE","DRZIP","DVBASIS","DVCONFID","DVLAT","DVLONG","DVTOTAL","ENERGY","FOVERIDE","IMPACTSP","INSPTYPE","LANES","LGTCOND","MAKE","MANEUVER","MODEL","MODELYR","OCCFORMS","OCUPANTS","RATWGT","PREEVENT","PREMOVE","PREILOC","PREISTAB","PSU","ALIGNMNT","SURCOND","PROFILE","SURTYPE","RELINTER","ROLINDIR","ROLINLOC","ROLINTYP","ROLLOBJ","ROLLOVER","ROVERIDE","SPECOTH","SPLIMIT","STRATIF","TOWHITCH","TOWPAR","TRAFCONT","TRCTLFCT","TRAVELSP","TRAFFLOW","TRIPLOC","VEHNO","VEHUSE","VIN","VINLNGTH","DRUGS","VINO","VERSION","VINMODYR","MCYCLDS","VEHWGT","VINMAKE","VINAMOD","SERTR","VINBT","ROOF1","ROOF2","ROOF3","ANTILOCK","FRTWHLDR","FOURWHDR","RESTYPE","CARBUR","FUELCODE","WGTCDTR","VEHTYPE","WHLDRWHL","DAYRUNLT","otvehwgt","otbdytyp","VINJSER","VINJURED","VTREAT","VAIS"
"6994",1,86,NA,270,10,0,19,30,NA,"154K",154,0,148,0,0,NA,0,1,NA,68108,3,4,18,-21,28,494,0,998,0,3,3,12,NA,471,1993,1,1,8.219,66,1,1,1,74,1,1,1,1,2,0,0,0,0,0,0,0,48,"K",0,1,0,0,NA,3,0,1,0,"1FTCR11A9PPB",17,0,4,19,1993,NA,NA,"FORD","RNG","RNG","PK",1,NA,NA,3,"","","A","","G",1,"T",44,"N",133,4,0,0,4,0
"6995",1,87,NA,10,270,0,42,4,0,"154K",154,0,133,0,1,NA,0,1,NA,68105,3,4,-19,-23,30,1175,0,998,3,3,3,55,NA,33,1997,3,3,8.219,17,1,1,1,74,1,1,4,2,2,0,0,0,0,0,0,NA,48,"K",0,1,0,0,NA,3,0,2,0,"KMHCF24F2VU7",17,0,5,19,1997,NA,2935,"HYUN","SSL","","4D",1,2,NA,5,"Y","N","E","F","G",NA,"P",NA,"N",148,30,1,2,3,4
"6996",1,1,NA,998,998,0,16,14,0,"155K",155,0,154,0,0,98,0,1,1,68164,9,0,NA,NA,NA,NA,0,NA,3,2,4,2,1,498,2000,3,3,8.219,13,1,4,1,74,1,1,4,1,0,2,4,2,68,2,0,0,40,"K",0,1,0,0,NA,0,4,1,0,"1J4FA49S7YP7",17,0,4,19,2000,NA,NA,"JEEP","W/T","SPW","2W",4,NA,NA,5,"","","U","","G",1,"T",44,"N",998,98,2,2,3,4
"6997",1,82,NA,160,270,0,NA,14,0,"156G",156,0,138,7,0,NA,0,1,NA,68023,11,0,NA,NA,NA,NA,0,NA,2,3,1,49,NA,402,2003,2,2,601.36,66,11,1,1,74,1,1,2,1,1,0,0,0,0,0,0,0,72,"G",0,1,1,2,NA,3,0,1,0,"JTEHH20V5302",17,0,5,19,2003,NA,NA,"TOYT","RV4","RV4","4W",3,NA,NA,5,"","","E","","G",1,"T",44,"O",151,4,0,1,0,7
"6998",1,83,NA,270,160,0,NA,4,0,"156G",156,0,151,7,0,NA,0,1,NA,68008,11,0,NA,NA,NA,NA,0,NA,2,3,1,12,NA,17,1999,0,2,601.36,17,1,1,1,74,1,1,4,1,1,0,0,0,0,0,0,0,72,"G",0,0,1,2,NA,1,0,2,0,"1FAFP53U3XA2",17,0,4,19,1999,NA,3353,"FORD","TSE","","4D",1,3,NA,7,"Y","N","E","F","G",NA,"P",NA,"O",138,14,NA,NA,NA,NA
"6999",1,69,NA,90,240,0,26,14,0,"157D",157,0,188,0,0,1,0,1,2,68111,3,4,9,-24,26,607,0,998,3,5,1,20,9,403,2002,2,2,11.589,62,1,1,1,74,1,1,2,1,2,0,0,0,0,0,0,0,64,"D",0,1,1,2,NA,1,0,1,0,"1GNDT13W92K2",17,0,4,19,2002,NA,NA,"CHEV","BZR","BZR","4W",1,3,NA,2,"","","E","","G",1,"T",44,"S",114,2,0,1,6,1
"7000",1,68,NA,240,90,0,41,2,0,"157D",157,0,114,0,0,1,0,1,1,68104,3,4,-7,-41,42,843,NA,998,0,5,1,20,1,16,1994,1,1,11.589,15,11,1,1,74,1,1,3,1,2,0,0,0,0,0,0,0,64,"D",0,1,1,2,NA,1,0,2,0,"1G1JC144XR71",17,0,4,19,1994,NA,2509,"CHEV","CRV","","CP",1,NA,NA,2,"Y","N","P","F","G",NA,"P",NA,"N",188,14,0,1,4,2
"7001",1,89,NA,0,90,0,8,4,0,"158E",158,0,171,0,0,1,0,1,3,68111,1,1,15,-3,15,83,0,998,2,2,3,12,1,16,1995,2,2,41.246,17,1,1,1,74,1,1,4,2,2,0,0,0,0,0,0,0,56,"E",0,1,1,2,NA,3,0,1,0,"2FALP71W7SX1",17,0,4,19,1995,NA,9999,"FORD","CVP","","4D",1,NA,NA,7,"N","N","E","F","G",NA,"P",NA,"N",139,4,0,2,0,1
"7002",1,88,NA,90,0,0,26,4,0,"158E",158,0,139,0,0,NA,0,1,NA,68107,1,1,-3,-19,19,419,0,998,3,4,3,41,NA,50,2003,1,1,41.246,66,1,1,1,74,1,1,2,2,2,0,0,0,0,0,0,0,56,"E",0,1,1,2,NA,3,0,2,0,"1YVFP80C435M",17,0,4,19,2003,NA,3042,"MAZD","M6I","","4D",7,NA,NA,8,"Y","N","E","F","G",NA,"P",NA,"U",171,4,0,1,4,1
"7003",1,83,NA,270,140,0,16,4,0,"159G",159,0,155,0,0,1,0,1,1,68135,3,1,-5,-13,14,171,0,998,3,4,1,7,NA,41,1997,1,1,109.834,67,1,1,1,74,1,1,1,1,2,0,0,0,0,0,0,0,64,"G",0,1,0,0,NA,0,0,1,0,"2B3HD56F9VH7",17,0,4,19,1997,NA,3434,"DODG","IES","","4D",1,3,NA,2,"Y","N","E","F","G",NA,"P",NA,"U",183,14,0,1,0,1
