"","VERSION","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID"
"12749",25,"northbound approaching the same intersection. The front of V2 impacted the left",74,79,"K",2," 79K"
"12750",25,"of V1 in the intersection.  The vehicles rotated toward each other and the right",74,79,"K",3," 79K"
"12751",25,"side of V2 contacted the left side of V1 in a side-slap configuration.  Both",74,79,"K",4," 79K"
"12752",25,"vehicles moved north after impact and departed the roadway to the left.  V1's",74,79,"K",5," 79K"
"12753",25,"front struck a wooden landscaping wall.  V2's front impacted a sign post,",74,79,"K",6," 79K"
"12754",25,"severing the post.",74,79,"K",7," 79K"
"12755",25,"Vehicle one was southbound, vehicle two was eastbound, both approaching an",74,80,"B",1," 80B"
"12756",25,"intersection.  Vehicle three was northbound in the left turn lane, stopped at",74,80,"B",2," 80B"
"12757",25,"the intersection. The front of V1 impacted the left of V2 in the intersection.",74,80,"B",3," 80B"
"12758",25,"V2 deflected right and its front struck the front of V3.",74,80,"B",4," 80B"
"12759",25,"The vehicle was eastbound. V1 lost control and departed the road to the left",74,81,"K",1," 81K"
"12760",25,"onto the center median. V1 crossed over the center median and the westbound",74,81,"K",2," 81K"
"12761",25,"lanes. It departed the roadway on the north side, where its left side struck a",74,81,"K",3," 81K"
"12762",25,"light pole base.  It moved south, entering the westbound roadway from the north.",74,81,"K",4," 81K"
"12763",25,"It then impacted a metal sign post on the median.",74,81,"K",5," 81K"
"12764",25,"The vehicle was northbound.  It departed the roadway to the left, impacting a",74,82,"K",1," 82K"
"12765",25,"guardrail face two times, a sign post, and then it initiated a longitudinal",74,82,"K",2," 82K"
"12766",25,"rollover.  The driver was ejected.",74,82,"K",3," 82K"
"12767",25,"Vehicle one was westbound in the #1 curb lane.  Vehicle two was westbound in the",74,83,"H",1," 83H"
"12768",25,"#1 lane trailing V1 and then changed into the #2 lane.  V1 initiated a u-turn",74,83,"H",2," 83H"
"12769",25,"across the #2 lane.  The front of V2 impacted the left of V1.",74,83,"H",3," 83H"
"12770",25,"V1 was southbound on a divided trafficway.  V1 traveled off the right side of",74,84,"B",1," 84B"
"12771",25,"the roadway and the front struck a wooden utility pole.  V1 continued down an",74,84,"B",2," 84B"
"12772",25,"embankment and the front struck a small tree and a culvert.",74,84,"B",3," 84B"
"12773",25,"V1 was northbound on an undivided roadway.  V1 departed the left side of the",74,85,"K",1," 85K"
"12774",25,"roadway and the left side struck a mailbox  and a large landscape boulder.  V1",74,85,"K",2," 85K"
"12775",25,"then crossed an intersecting roadway and rolled over to the right one",74,85,"K",3," 85K"
"12776",25,"quarter-turn.  The top of V1 then struck a tree.  V1 then rolled back onto its",74,85,"K",4," 85K"
"12777",25,"wheels.",74,85,"K",5," 85K"
"12778",25,"Vehicles one and two were southbound, approaching an intersection.  Vehicle",74,86,"K",1," 86K"
"12779",25,"three was eastbound approaching the same intersection, intending to turn left.",74,86,"K",2," 86K"
"12780",25,"The front of V1 then impacted the left of V2.   The front of V2 impacted the",74,86,"K",3," 86K"
"12781",25,"left of V3 within the intersection.",74,86,"K",4," 86K"
"12782",25,"V1 was northbound on an undivided roadway.  V1 traveled off the right side of",74,87,"B",1," 87B"
"12783",25,"the roadway and the front struck a metal light pole.  V1 traveled down a grass",74,87,"B",2," 87B"
"12784",25,"embankment and the front and left side struck a chain link fence.  V1 continued",74,87,"B",3," 87B"
"12785",25,"traveling across a grass field and the front struck a tree.",74,87,"B",4," 87B"
