"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"3064",1,NA,0,146,"147B",147,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,0,NA,78,62.228,NA,NA,NA,NA,NA,NA,NA,NA,"D","","B","E","","W","",1,318,25
"3065",1,NA,0,135,"147B",147,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,4,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,350,NA,78,62.228,NA,NA,NA,NA,NA,NA,NA,NA,"D","","B","E","","W","",2,227,25
"3066",1,NA,0,153,"148K",148,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,0,NA,78,56.614,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","E","","W","",1,270,25
"3067",1,NA,0,168,"148K",148,54,0,0,0,0,0,1,1,48,150,6,NA,170,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,78,56.614,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","K","E","","W","",2,300,25
"3068",1,NA,0,170,"149H",149,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,78,2122.636,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",2,337,25
"3069",1,NA,0,155,"150J",150,89,0,37,53,56,62,68,26,0,158,1,NA,158,4,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,78,48.317,NA,NA,NA,NA,NA,NA,NA,NA,"D","","J","E","","W","",1,270,25
"3070",1,NA,0,155,"150J",150,156,0,51,38,44,49,27,14,0,164,12,NA,164,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,78,48.317,NA,NA,NA,NA,NA,NA,NA,NA,"D","","J","E","","W","",2,333,25
"3071",1,NA,0,166,"151E",151,31,0,0,10,1,0,0,0,-58,168,11,NA,168,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,78,156.017,NA,NA,NA,NA,NA,NA,NA,NA,"L","","E","E","","E","",2,282,25
"3072",1,NA,0,149,"152F",152,250,0,0,7,4,5,1,2,-54,320,12,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,350,NA,78,357.815,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","A","","W","",1,276,25
"3073",1,2,0,157,"153J",153,160,0,7,13,9,12,14,0,-25,160,11,0,998,2,2,NA,NA,NA,0,0,0,1,NA,"L","R",NA,NA,NA,NA,17,NA,1,NA,NA,1,31,320,998,78,115.961,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","J","E","A","W","O",2,295,25
