"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1878",1,NA,0,152," 99G",99,92,0,0,0,1,7,11,1,23,140,12,NA,140,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,12,579.558,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","E","","W","",1,1,285,20
"1879",1,NA,0,155," 99G",99,105,0,2,1,0,0,0,0,21,148,6,NA,148,1,NA,NA,NA,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,12,579.558,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","L","","W","",0,2,271,20
"1880",1,NA,0,168,"100H",100,94,0,3,0,1,0,0,0,-39,174,12,NA,174,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,12,637.304,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","E","","W","",0,1,365,20
"1881",1,2,0,157,"100H",100,75,0,1,11,17,24,27,26,28,154,6,12,154,4,1,NA,NA,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,1,3,180,0,12,637.304,0,0,0,10,7,0,20,154,"Z","Z","H","E","E","W","W",1,2,277,20
"1882",1,NA,0,163,"101K",101,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,150,NA,NA,NA,NA,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,80,NA,12,46.109,NA,NA,NA,NA,NA,NA,NA,NA,"R","","K","E","","9","",0,1,286,20
"1883",1,3,0,NA,"101K",101,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,1,998,2,NA,NA,NA,0,0,1,NA,"L","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,68,330,20,12,46.109,NA,NA,NA,NA,NA,NA,NA,NA,"D","9","K","E","9","W","9",1,2,282,20
"1884",2,3,0,150,"102D",102,108,0,4,3,2,1,1,1,-24,155,6,12,155,1,1,NA,NA,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,3,1,180,0,12,47.734,NA,NA,NA,NA,NA,NA,NA,NA,"Y","D","D","L","L","W","W",0,2,272,20
"1885",1,2,0,151,"102D",102,96,0,18,14,14,7,7,3,-22,144,6,12,156,1,1,NA,NA,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,4,2,180,0,12,47.734,7,2,2,0,0,1,-15,156,"Y","D","D","L","E","W","W",0,3,273,20
"1886",1,NA,0,158,"102D",102,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,168,NA,NA,2,NA,0,0,NA,NA,"F","",4,NA,2,NA,1,NA,NA,NA,NA,3,NA,0,NA,12,47.734,NA,NA,NA,NA,NA,NA,NA,NA,"9","","D","E","","9","",NA,4,281,20
"1887",2,1,0,150,"104F",104,123,0,3,13,8,8,13,4,0,135,20,0,135,1,NA,NA,NA,0,0,1,NA,"B","U",NA,NA,NA,NA,1,NA,1,NA,NA,61,61,998,998,12,370.475,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","F","E","Z","W","W",0,1,264,20
